h	e	v	i	k	q	,	4	d	9	d	7	b	4	a	7	1	0	5	9	6	9	b	d	6	8	3	d	b	6	6	9	3	c	a	d	5	0	a	e	d	8	4	4	9	e	e	1	3	c	f	8	5	a	f	0	2	c	e	d	a	5	9	5	0	f	a	0	b	0	3
t	n	q	u	n	b	,	7	e	d	3	2	4	a	9	c	1	a	4	e	0	c	2	c	3	3	1	4	2	9	e	e	7	b	a	a	b	3	4	1	2	6	e	e	1	1	5	5	c	3	d	6	e	6	7	a	6	6	e	a	9	c	f	e	e	e	3	d	8	8	b
g	v	x	x	f	n	,	e	1	f	8	3	3	b	8	7	e	7	1	e	8	9	b	6	1	e	1	2	4	0	e	7	c	3	5	0	b	7	6	4	e	8	e	0	8	2	f	2	0	2	4	d	a	c	0	7	3	c	6	a	4	4	3	9	3	9	f	4	0	2	5
d	u	s	d	m	o	,	8	8	7	d	8	a	0	3	b	e	1	6	3	9	7	f	1	a	d	2	a	0	c	8	0	2	a	d	0	8	a	8	9	a	b	2	6	0	1	6	c	d	d	2	a	2	0	f	8	5	1	5	b	1	3	1	6	5	2	6	b	2	6	8
j	f	f	k	q	t	,	3	4	f	3	4	e	1	b	6	5	3	c	5	b	6	f	9	8	1	e	7	d	f	b	9	a	5	9	e	e	f	4	a	c	d	8	a	8	7	5	0	e	f	4	b	8	4	9	9	f	8	5	b	8	a	a	7	1	3	b	d	a	6	e
r	v	e	x	f	y	,	e	4	0	7	8	7	2	f	5	d	3	a	8	e	4	6	7	3	e	2	1	d	5	4	2	5	e	f	6	f	8	6	5	9	c	d	a	c	b	7	e	1	5	e	3	5	d	8	1	9	c	9	5	7	1	4	1	0	8	9	2	6	7	0
u	w	g	o	f	b	,	2	b	e	4	e	7	d	d	b	b	8	d	7	c	d	9	0	6	e	1	3	7	a	9	6	6	9	a	6	6	2	2	e	e	b	8	a	9	3	8	f	4	4	7	6	4	d	3	d	5	7	5	6	8	2	c	1	2	e	0	6	4	4	4
b	u	a	c	u	f	,	c	9	9	f	b	f	c	2	0	2	f	0	5	b	a	f	7	6	3	8	7	2	e	d	a	d	8	6	c	6	d	b	e	5	5	2	e	a	2	3	5	c	2	b	c	b	a	a	2	4	e	5	1	1	a	8	6	d	f	2	9	d	c	b
u	l	q	g	v	r	,	2	a	e	8	c	9	f	e	2	9	3	6	a	2	6	0	5	5	c	e	0	7	8	8	3	0	f	e	5	f	b	a	b	f	7	1	3	1	f	2	1	3	2	7	e	8	4	c	f	d	4	b	a	c	8	e	2	5	3	4	3	f	1	2
n	c	o	x	q	p	,	3	3	2	2	9	e	e	9	d	a	2	8	b	1	9	2	f	f	4	6	d	c	2	e	a	3	6	3	2	7	5	d	c	2	2	b	7	a	8	d	7	3	3	a	c	b	a	7	3	3	0	2	2	4	8	2	3	5	7	3	e	7	6	7
i	s	c	m	r	v	,	4	c	6	b	a	6	3	0	6	9	a	b	6	9	f	3	c	8	c	4	8	2	4	1	d	6	4	6	4	3	d	c	d	5	4	f	8	4	0	3	8	b	8	7	1	6	e	3	8	4	d	7	0	f	9	f	b	b	f	7	9	8	0	5
f	d	m	b	u	b	,	4	1	3	2	1	d	4	0	5	1	c	f	f	b	e	4	e	3	1	3	e	7	2	6	2	1	a	3	0	0	2	c	4	9	d	8	f	c	5	a	e	3	5	9	a	1	a	7	e	8	b	6	d	8	2	c	8	4	5	8	b	3	e	5
b	n	c	i	k	c	,	b	d	c	f	e	f	2	3	9	6	9	0	1	0	a	0	b	7	d	6	d	b	e	f	6	a	4	d	8	8	4	e	8	0	c	7	b	c	8	2	1	2	2	c	3	a	5	d	8	2	a	c	c	c	6	a	d	6	2	5	4	c	2	9
y	y	o	f	o	s	,	5	5	d	3	0	b	2	0	b	b	8	3	8	6	f	0	3	7	9	c	8	3	2	5	f	f	7	6	d	1	f	9	d	6	c	1	3	f	5	f	1	4	0	c	9	b	4	7	5	e	c	6	e	f	4	f	0	e	0	6	a	7	c	8
i	m	f	s	b	u	,	e	3	0	e	8	8	9	5	d	c	9	2	e	2	6	b	a	2	3	8	8	e	a	9	f	3	1	4	9	2	d	0	a	2	c	9	6	3	a	7	d	e	9	9	5	6	9	7	2	8	2	e	8	7	5	e	6	5	b	8	2	f	e	f
i	d	a	i	r	g	,	6	2	2	2	1	3	a	8	4	1	8	b	0	4	9	0	3	7	a	8	b	0	d	8	c	c	2	e	5	e	4	3	9	4	c	2	8	6	6	2	d	b	e	f	a	9	6	b	2	c	c	6	2	6	9	e	8	4	a	d	d	7	0	a
x	c	f	k	t	c	,	b	3	5	9	e	8	0	e	d	9	0	1	0	d	4	c	7	1	e	2	5	1	c	6	7	6	4	3	1	5	5	4	2	2	0	9	7	e	b	3	d	3	0	f	3	8	6	3	9	8	2	0	4	5	c	8	3	f	0	d	9	6	b	7
f	v	t	b	f	p	,	9	e	4	f	3	d	c	d	a	2	7	a	1	6	f	7	8	4	a	f	2	d	4	3	0	b	d	d	d	2	4	8	a	0	0	2	8	7	e	9	f	b	d	8	a	3	b	7	8	5	e	a	a	6	3	a	d	8	e	9	f	9	4	d
y	l	b	p	x	v	,	f	1	4	2	f	e	e	b	1	2	b	2	9	d	1	8	9	1	3	e	0	1	4	1	e	e	2	e	0	4	1	0	7	1	c	7	1	a	1	9	d	7	8	e	8	d	7	9	4	d	d	8	3	5	1	5	1	5	5	5	5	f	3	b
a	m	b	p	e	p	,	8	f	f	9	f	2	6	b	5	9	2	c	b	d	3	2	c	b	a	5	e	f	9	2	2	d	c	d	c	a	f	2	a	b	6	9	f	7	5	9	5	d	3	0	1	8	f	f	6	6	4	b	0	a	e	e	a	a	5	d	2	8	1	2
h	o	h	j	s	x	,	2	b	e	f	a	f	d	3	9	4	4	0	4	3	d	3	d	0	4	4	1	6	5	8	4	a	8	7	4	6	1	e	7	7	5	2	7	b	4	6	2	a	3	9	d	f	0	0	3	d	b	e	9	5	f	2	2	9	7	c	7	9	4	7
t	m	d	c	a	x	,	b	3	3	1	8	d	f	c	4	e	9	3	4	1	4	8	e	e	f	3	a	9	9	8	1	1	c	d	1	c	7	3	7	8	7	0	d	0	7	0	7	9	a	8	a	0	3	2	5	3	e	1	c	d	d	7	e	e	c	1	5	1	b	f
p	c	l	d	u	o	,	c	f	9	f	c	e	3	1	a	f	9	2	6	1	6	1	7	9	c	6	2	3	1	e	9	5	a	b	f	3	2	6	e	3	2	b	2	3	9	a	e	2	1	9	d	9	6	1	d	1	1	3	0	d	4	3	f	5	5	b	b	0	e	b
m	i	y	u	w	o	,	4	d	d	c	a	9	d	d	c	f	c	a	6	3	1	d	7	c	0	c	e	0	e	3	9	0	7	2	5	4	2	a	f	3	4	a	c	2	9	e	8	8	9	7	d	d	2	0	b	2	2	a	a	3	3	1	6	1	e	c	1	e	5	5
g	c	j	k	h	f	,	9	f	1	5	d	1	4	5	e	2	c	e	9	2	1	f	c	3	a	7	1	9	d	6	5	e	e	8	3	7	3	9	e	0	2	8	7	1	1	6	4	3	8	b	a	1	f	a	0	c	1	c	1	8	3	5	9	c	6	3	4	1	b	a
p	r	y	k	u	v	,	a	f	9	8	9	a	0	d	6	0	a	9	6	d	9	9	a	c	f	4	8	1	0	0	1	5	b	2	3	2	0	8	1	2	0	3	f	f	e	a	5	6	f	7	e	c	a	e	d	7	a	0	3	1	4	7	7	d	4	d	f	7	6	4
s	f	y	g	s	f	,	5	f	d	2	7	f	b	f	e	7	6	0	3	3	b	a	9	3	5	8	6	f	6	5	7	7	8	2	9	e	a	5	d	5	d	2	1	c	3	1	1	9	4	8	5	9	d	f	0	6	b	5	8	3	c	0	a	2	7	d	c	e	7	b
a	o	g	f	l	q	,	4	4	3	e	6	7	2	e	5	5	6	2	1	3	4	7	b	1	5	4	4	5	e	1	4	9	e	2	6	8	c	f	4	6	d	f	0	3	f	9	0	4	f	7	b	3	d	f	d	3	6	2	2	4	e	1	1	0	3	5	8	9	d	3
k	y	h	l	h	x	,	f	f	8	2	2	6	b	8	f	e	b	0	6	e	f	c	e	b	a	f	c	b	f	0	f	5	7	3	c	b	f	0	b	2	5	6	7	e	4	b	5	f	b	f	2	9	7	0	8	c	e	5	f	d	6	5	e	2	e	2	1	7	a	8
i	j	b	q	m	m	,	c	1	e	2	0	3	f	c	a	2	b	9	f	5	8	8	5	d	6	c	1	c	6	c	4	7	1	6	5	b	5	4	d	2	0	e	b	2	b	0	c	d	c	f	6	d	1	5	e	8	d	6	f	8	b	f	0	8	a	f	0	9	6	0
c	m	c	a	v	n	,	b	e	4	8	a	d	8	2	0	9	9	6	c	e	0	4	1	b	5	7	9	3	a	9	9	5	d	b	4	7	e	4	2	e	1	9	e	4	1	1	c	4	0	3	3	d	8	f	5	a	7	f	b	6	5	4	a	9	6	d	a	e	a	b
v	z	c	q	f	g	,	1	0	0	d	a	4	0	1	2	5	4	6	5	f	4	c	9	0	9	c	0	6	6	3	e	2	f	d	3	4	1	6	7	1	b	4	a	e	c	4	4	3	f	c	4	4	b	f	7	b	2	9	9	f	6	7	0	f	7	f	3	9	7	d
i	x	p	k	x	i	,	d	e	b	6	e	8	7	5	a	2	f	4	8	4	5	b	0	0	f	e	c	b	2	e	4	6	9	d	b	2	9	8	5	9	9	6	4	c	4	d	7	9	6	5	0	c	d	c	8	2	f	b	7	d	6	a	8	5	1	7	1	f	a	d
w	z	e	n	a	b	,	5	2	c	3	a	9	0	8	d	4	3	d	e	e	7	2	0	3	6	4	4	0	5	c	a	7	e	b	8	b	b	5	2	7	8	3	4	c	3	c	7	5	f	5	c	f	5	2	0	4	1	f	6	1	0	c	6	f	2	7	5	a	8	7
s	f	m	u	v	a	,	6	1	e	7	3	6	e	d	a	0	5	3	f	0	e	d	e	e	7	6	4	2	7	1	c	e	3	f	9	9	f	f	3	b	c	b	6	2	3	9	7	e	7	f	d	9	f	2	7	a	e	9	a	2	1	8	9	a	2	e	a	d	d	4
g	s	e	g	f	r	,	5	5	0	3	4	2	7	8	a	7	d	a	9	b	0	9	f	5	a	8	b	9	a	9	4	3	a	1	b	1	3	b	4	5	c	f	8	e	2	3	1	4	7	d	6	7	b	4	d	d	5	7	d	4	7	2	5	b	6	7	6	e	5	e
f	o	h	k	h	m	,	8	6	3	c	1	9	6	0	6	b	8	2	5	6	f	1	1	c	8	e	3	6	5	3	1	9	4	b	2	1	c	e	1	b	6	b	f	f	7	0	1	f	c	5	f	5	a	8	4	4	0	c	7	8	8	1	f	7	9	a	d	8	9	3
h	b	m	n	q	q	,	5	4	c	7	2	1	5	e	9	a	c	6	b	3	6	4	6	9	7	2	9	d	a	7	7	3	d	5	2	6	2	f	0	1	6	c	5	5	f	8	2	e	1	e	d	f	3	d	3	1	3	a	9	8	b	3	4	f	b	c	6	9	b	5
d	n	j	r	a	o	,	4	2	a	a	b	5	d	1	8	a	8	2	a	d	e	7	0	1	5	5	7	2	a	f	f	0	9	f	9	a	b	d	4	b	1	1	8	f	8	c	e	5	0	2	4	4	8	7	4	2	4	e	f	3	c	5	8	9	b	0	f	3	2	f
y	z	n	q	n	s	,	9	7	8	e	4	5	c	a	7	8	c	b	d	d	d	7	1	6	a	5	b	1	4	a	b	a	7	5	3	5	7	6	8	e	d	6	6	d	c	5	e	f	c	5	0	b	c	6	a	e	e	c	1	5	f	0	c	b	2	1	8	7	f	6
v	g	r	f	i	j	,	8	3	e	6	5	a	1	b	e	7	e	e	e	8	2	0	9	1	8	6	5	2	5	6	e	1	8	7	b	a	8	b	f	3	0	2	8	9	4	2	1	7	f	5	d	7	f	3	c	f	3	f	a	a	4	9	a	6	0	1	f	b	5	8
y	k	k	l	r	z	,	8	a	9	e	4	e	b	d	8	2	5	b	5	7	3	a	1	b	5	a	7	c	d	a	1	2	0	2	5	8	e	8	1	2	0	8	0	0	d	a	e	e	6	c	c	2	a	a	2	b	f	3	e	3	5	5	7	7	2	7	b	7	1	e
d	a	u	q	f	z	,	2	9	0	a	f	8	1	5	2	e	f	d	f	6	d	c	c	2	5	1	c	1	2	e	d	0	e	2	b	b	1	e	5	2	c	b	6	6	2	6	c	c	5	7	2	4	2	1	e	2	f	d	e	f	e	3	c	6	3	8	c	8	7	5
w	p	p	u	f	j	,	f	7	f	b	3	5	d	e	5	c	9	5	8	9	0	f	e	6	4	6	f	6	2	3	d	c	a	3	3	8	2	1	e	d	4	3	8	d	c	5	5	4	b	2	1	f	7	9	9	c	d	f	1	0	4	5	3	6	7	0	9	2	6	7
p	z	k	x	j	g	,	1	e	0	b	d	2	9	3	4	1	0	b	9	4	6	8	a	8	1	c	c	4	8	2	5	b	4	e	9	e	6	6	7	3	e	6	2	1	7	8	c	9	5	6	3	f	e	7	8	8	9	a	7	d	9	b	a	8	9	5	2	c	3	c
k	o	u	t	v	m	,	1	1	2	5	f	8	b	1	f	1	2	6	0	f	5	4	1	c	b	8	0	1	0	f	0	8	2	1	c	8	3	2	0	2	b	b	5	c	b	6	0	4	5	0	5	6	3	b	f	8	1	6	0	0	e	6	1	2	6	7	0	3	9	1
s	n	c	h	w	b	,	b	b	9	d	6	b	1	5	b	7	d	f	4	3	8	a	0	5	f	1	4	8	8	c	6	e	e	b	0	d	6	a	d	4	a	3	a	8	8	5	c	b	9	b	4	7	4	f	6	8	3	0	3	1	3	6	7	c	e	e	b	8	b	e
z	j	t	u	e	c	,	7	3	4	f	1	1	c	a	6	e	1	0	b	3	4	e	3	0	7	a	4	c	f	6	1	7	8	c	3	f	8	c	9	0	c	6	8	6	5	b	9	5	f	5	3	e	5	4	9	a	6	5	4	0	3	6	6	0	2	f	0	4	6	c
x	m	l	n	y	w	,	4	f	c	1	9	d	2	2	5	1	b	4	2	b	8	6	1	9	9	4	5	4	a	c	9	8	c	a	e	6	3	b	b	b	5	7	1	1	8	b	d	e	9	d	9	8	0	d	a	d	9	7	0	a	2	7	9	4	b	8	2	7	c	a
d	f	k	s	v	h	,	5	c	9	c	3	f	b	1	4	1	d	7	8	6	7	3	4	3	c	0	2	0	f	5	5	6	2	0	8	7	9	9	3	b	c	e	a	4	3	5	d	5	2	2	b	d	6	3	6	c	a	a	5	c	d	a	c	e	0	d	2	1	3	9
p	u	m	z	p	t	,	d	6	1	7	c	8	1	e	7	5	1	9	7	9	7	b	2	4	f	5	3	7	7	1	f	4	9	2	6	9	3	b	8	b	6	b	5	c	a	2	d	6	7	e	a	4	c	f	b	6	a	f	7	3	e	c	c	8	1	3	d	4	a	9
z	l	s	i	x	w	,	0	d	d	d	2	f	a	2	b	8	c	3	5	e	d	f	0	9	b	2	4	9	2	b	e	4	4	d	1	3	b	f	9	d	3	c	9	7	b	2	8	d	2	3	c	5	5	9	6	1	6	3	b	6	b	0	2	1	f	8	f	6	d	a
y	e	s	p	d	x	,	7	4	d	7	4	6	4	f	8	4	2	7	c	8	4	2	d	1	6	9	3	4	0	9	9	f	5	0	2	9	f	2	c	0	0	d	3	4	2	f	9	e	1	1	c	2	d	3	4	4	0	c	f	c	2	2	e	b	8	0	b	8	7	3
j	m	g	m	p	r	,	e	5	f	b	1	5	2	5	3	4	0	2	0	4	a	6	e	8	3	4	b	e	1	0	5	2	a	c	5	a	1	5	e	f	7	2	8	9	5	4	f	e	5	2	8	a	c	5	d	a	2	0	a	d	d	9	8	e	3	1	b	7	2	2
t	v	y	k	q	o	,	4	3	a	c	b	7	c	4	e	e	a	e	6	3	6	2	4	4	8	0	9	c	5	d	2	6	c	4	d	9	7	4	b	2	7	a	3	4	5	8	e	8	f	3	5	5	4	9	3	c	6	8	c	6	e	b	5	a	7	0	a	d	c	9
y	a	x	v	s	w	,	8	a	f	8	b	2	9	c	e	9	b	0	d	a	a	3	8	1	5	7	5	8	7	7	d	c	f	d	c	c	c	7	a	1	c	c	8	b	5	d	8	7	7	f	5	b	a	9	9	a	c	7	4	f	e	9	c	2	0	b	1	0	c	8
b	t	d	t	c	b	,	2	0	e	9	9	1	5	8	e	1	2	e	5	3	b	f	f	c	f	d	c	4	6	7	f	5	f	4	1	7	0	e	d	e	c	e	8	e	a	6	a	9	4	e	8	c	2	e	7	2	4	3	2	0	4	b	0	f	4	1	a	3	7	0
h	l	w	e	n	l	,	0	3	c	2	b	d	8	6	5	c	3	1	f	e	5	b	e	7	6	b	1	8	7	0	a	d	e	0	f	9	a	0	2	1	b	6	0	f	9	4	3	1	c	2	4	3	f	2	a	2	b	e	5	e	9	e	b	1	e	9	5	5	e	3
t	u	p	f	q	g	,	f	b	5	c	7	6	9	8	b	0	a	0	7	1	3	e	9	0	c	1	e	3	9	c	2	3	f	7	f	e	0	0	c	2	7	d	f	2	d	7	6	c	4	d	b	5	d	2	9	d	f	8	1	1	e	0	a	1	3	a	7	6	e	4
c	t	j	d	y	a	,	6	f	3	f	8	3	1	3	a	3	9	2	f	1	6	2	b	5	5	1	b	e	2	f	7	7	4	4	5	b	8	1	0	b	1	c	6	c	0	e	1	f	f	e	e	1	3	b	5	2	2	9	3	2	f	3	9	1	5	0	1	7	3	5
t	u	j	l	t	o	,	a	9	f	0	b	d	f	a	c	f	b	a	1	e	2	5	c	e	f	a	6	e	9	e	8	9	9	1	f	a	8	b	0	0	6	f	f	0	c	1	f	3	d	e	6	3	2	6	f	7	7	3	8	0	6	6	a	7	9	2	2	a	2	c
f	d	e	a	i	m	,	1	3	2	3	2	0	f	6	4	f	0	d	a	3	d	c	f	3	c	f	f	e	4	a	1	6	2	2	2	4	e	d	a	4	9	f	9	1	d	9	6	9	e	6	d	0	a	3	c	6	4	7	5	8	8	7	4	b	1	c	d	5	6	2
o	q	z	u	g	s	,	6	0	8	6	3	b	b	5	9	7	d	d	3	7	0	2	c	f	8	6	1	b	9	9	e	c	7	a	3	6	1	9	0	6	6	0	a	6	b	5	0	7	4	e	8	6	5	d	e	1	7	7	9	b	3	5	e	0	6	8	3	c	7	9
c	l	d	a	r	s	,	5	b	a	6	a	6	1	6	f	6	3	3	4	0	2	4	6	e	3	8	3	b	2	6	2	9	7	1	7	9	3	0	e	3	b	9	5	9	d	1	b	3	7	a	a	6	e	7	4	2	e	7	2	3	8	4	c	d	5	2	c	1	a	5
b	k	y	o	d	h	,	2	8	3	d	d	8	4	8	e	6	b	f	6	7	5	2	e	8	5	7	1	6	f	d	4	b	0	b	6	0	0	a	d	3	6	4	1	e	2	4	3	8	c	f	6	b	6	b	f	8	7	3	f	3	7	b	1	0	c	9	7	7	f	7
x	n	z	j	i	t	,	c	9	b	0	3	1	d	8	3	4	9	f	5	9	6	0	0	3	5	9	f	5	3	5	6	3	1	7	3	d	9	3	1	4	5	1	1	a	1	7	f	b	6	f	3	d	3	4	9	d	9	e	2	c	1	5	f	5	b	c	b	0	1	b
r	b	h	h	s	c	,	a	e	c	a	b	a	f	a	6	4	b	5	9	b	0	b	8	9	f	9	0	4	5	e	8	8	d	2	4	6	5	d	c	7	3	7	8	8	6	8	1	1	7	e	7	2	5	f	3	1	5	0	4	5	f	6	8	8	0	b	5	7	c	0
z	g	y	u	n	i	,	2	f	a	0	a	1	4	9	e	c	8	8	0	4	d	d	1	0	0	a	6	f	9	0	3	1	1	e	d	1	e	6	9	3	e	c	5	2	4	8	0	a	9	5	f	b	8	4	1	8	b	e	e	4	c	3	8	7	6	4	8	1	f	d
q	f	k	h	i	l	,	8	9	c	1	8	4	c	d	4	8	2	6	9	1	1	6	9	a	3	d	9	6	2	c	7	d	1	e	0	b	3	3	7	e	5	f	b	a	c	0	1	3	7	d	4	a	e	4	7	1	9	f	d	e	e	5	8	e	d	2	7	c	9	b
h	l	i	o	f	p	,	8	e	d	b	0	c	0	8	1	3	c	a	a	6	0	4	5	2	c	a	0	0	f	c	1	5	1	7	c	c	c	3	4	e	e	d	2	f	d	8	1	b	2	d	3	c	c	3	1	b	7	5	1	b	c	8	a	1	f	f	6	7	a	8
n	o	v	h	w	d	,	2	c	f	e	0	f	b	3	a	9	e	6	6	7	e	9	0	5	d	b	d	8	b	8	5	5	7	b	d	7	b	4	e	2	2	a	a	4	4	a	8	2	6	f	d	e	9	f	f	0	1	0	1	4	4	e	2	a	a	1	d	8	1	5
l	k	i	k	g	j	,	f	a	d	6	9	a	b	0	0	8	7	a	5	2	6	f	2	c	a	2	d	3	0	d	4	1	8	7	1	7	8	b	6	8	5	1	9	f	9	d	3	8	8	c	9	1	8	0	8	6	b	7	5	7	3	5	0	d	0	a	a	b	0	6
e	x	d	m	m	h	,	c	9	d	8	f	7	8	0	f	6	7	9	4	a	e	f	0	1	7	e	3	c	5	f	a	d	5	f	9	9	b	1	4	8	d	b	b	b	0	a	e	e	e	8	c	e	c	a	c	8	2	5	7	e	d	0	f	d	5	d	0	f	9	4
f	e	w	o	w	n	,	1	d	2	c	f	3	6	1	a	6	0	4	8	b	6	d	7	6	8	3	8	e	0	4	8	4	c	c	4	3	e	8	d	5	4	a	0	0	a	3	f	6	6	2	7	c	1	b	f	b	8	c	1	e	5	6	b	3	d	5	c	d	0	4
y	f	n	x	m	w	,	f	8	0	7	f	8	9	7	d	3	8	d	3	1	6	3	c	7	d	1	9	0	5	2	f	d	5	b	6	5	d	9	f	0	4	5	c	d	6	8	8	0	9	d	8	d	6	3	1	5	0	b	7	0	8	4	9	5	8	b	8	8	6	1
a	a	g	s	w	m	,	2	e	3	e	e	e	5	f	6	9	7	1	f	d	b	a	2	e	5	8	7	9	a	3	d	3	6	8	6	0	d	3	4	5	b	6	7	4	8	8	0	f	a	a	a	3	2	3	3	7	6	4	f	c	9	7	6	a	7	a	9	e	6	7
p	e	k	u	b	r	,	0	a	2	0	e	5	4	3	0	b	7	2	3	6	0	5	8	4	0	c	1	6	9	9	f	7	6	0	4	a	d	d	7	0	5	7	6	a	2	f	7	2	4	0	3	7	6	5	1	3	b	1	8	0	7	a	5	1	0	0	f	c	8	5
v	d	p	r	s	k	,	b	8	9	1	5	c	1	f	0	5	0	a	1	c	3	e	1	f	7	5	c	e	2	1	7	f	e	a	7	1	b	7	d	9	a	7	3	8	0	8	e	c	e	9	2	4	1	c	2	9	6	f	9	1	3	9	5	a	3	8	4	b	b	8
x	j	h	z	f	g	,	1	8	e	6	0	d	2	a	e	1	2	d	c	9	c	f	e	8	c	f	8	7	7	3	e	7	7	1	d	e	e	a	e	f	c	5	3	3	d	4	3	f	7	9	6	f	e	e	5	3	e	a	b	3	5	1	b	f	6	c	3	e	8	1
p	g	g	o	p	a	,	d	7	4	0	e	2	c	4	b	9	b	3	0	4	c	3	6	2	8	b	1	4	2	3	7	2	4	a	c	3	e	c	9	c	1	6	1	a	b	4	0	0	7	b	3	d	f	d	9	8	d	9	4	0	d	0	0	8	2	a	9	1	2	c
j	y	q	n	y	s	,	7	6	c	f	e	e	e	2	f	f	5	c	6	2	4	3	3	6	4	9	2	f	d	7	8	9	c	8	a	1	7	f	c	c	8	5	b	e	b	a	f	5	6	5	f	2	e	d	4	e	2	3	9	7	5	8	4	f	7	6	b	9	9	4
